# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.0836287	1	0	0
N2	0.0719776	0.0719776	0.0299487	2	0	9
N3	0.0289065	0.100884	0.00104218	1	3	5
N4	0.00174489	0.102629	0.00054559	1	0	0
S4	0.0007815	0.103411	0	0	1	0
S5	0.00054559	0.103175	0	0	1	0
S3	0.00104218	0.101926	0	0	1	0
N5	0.034772	0.10675	0.00130894	1	0	2
S1	0.00130894	0.108059	0	0	1	1
S2	0.00201816	0.108768	0	0	2	1
S6	0.0836287	0.0836287	0	0	0	19
