Node	State	ProbSum	Father	StateFather	ProbSumFather
S23	1	161	N5	1	160.9
S24	1	161	N5	1	160.9
N5	1	160.9	N4	1	160.9
S25	1	160	N4	1	160.9
N4	1	160.9	N3	1	160.8
S20	1	160.9	N6	1	160.9
S21	1	160.9	N6	1	160.9
N6	1	160.9	N3	1	160.8
N3	1	160.8	N2	1	160.8
S22	1	159.9	N2	1	160.8
N2	1	160.8	N1	1	159.9
S15	1	160.7	N11	1	160.7
S17	1	160.1	N11	1	160.7
N11	1	160.7	N10	1	160.7
S16	1	160.7	N10	1	160.7
N10	1	160.7	N9	1	159.2
S18	1	159	N9	1	159.2
N9	1	159.2	N8	1	159.1
S19	1	159	N8	1	159.1
N8	1	159.1	N7	1	159.1
S13	1	159	N14	1	158.1
S14	1	158	N14	1	158.1
N14	1	158.1	N13	1	158.5
S12	1	160.2	N13	1	158.5
N13	1	158.5	N12	1	158.5
S5	1	159	N15	1	159
S11	1	158	N16	1	159
S2	1	159.1	N19	1	159.1
S3	1	159.1	N19	1	159.1
N19	1	159.1	N18	1	159.1
S10	1	159.1	N18	1	159.1
N18	1	159.1	N17	1	159
S9	1	159	N20	1	159
S1	1	161	N22	1	160.3
S4	1	159	N22	1	160.3
N22	1	160.3	N21	1	159
S8	1	158	N23	1	159
S6	1	159	N24	1	159
S7	1	159	N24	1	159
N24	1	159	N23	1	159
N23	1	159	N21	1	159
N21	1	159	N20	1	159
N20	1	159	N17	1	159
N17	1	159	N16	1	159
N16	1	159	N15	1	159
N15	1	159	N12	1	158.5
N12	1	158.5	N7	1	159.1
N7	1	159.1	N1	1	159.9
N1	1	159.9	NoFather2Root	NA	NA
