# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.00095332	2	0	0
N2	0.00045188	0.00045188	0.00050144	1	0	0
N3	1e-06	0.00045288	0.00050044	2	0	0
N4	0.0003746	0.00082748	0.00012584	1	0	0
N5	0.00012485	0.00095233	6e-06	1	0	1
N6	1e-06	0.00095333	5e-06	1	0	0
N7	1e-06	0.00095433	4e-06	1	0	0
N8	1e-06	0.00095533	3e-06	1	0	0
N9	1e-06	0.00095633	2e-06	1	0	0
N10	1e-06	0.00095733	1e-06	1	0	0
N11	1e-06	0.00095833	0.0001257	1	0	0
S3	0.0001257	0.00108403	0	0	0	0
S5	0.00037714	0.00133547	0	0	0	0
S8	1e-06	0.00095833	0	0	1	1
S9	0.00075445	0.00171078	0	0	0	1
S2	0.0001257	0.00108103	0	0	0	0
S6	0.00062871	0.00158304	0	0	0	0
S7	0.00050293	0.00145626	0	0	0	0
S4	0.00025144	0.00120377	0	0	0	0
S1	0.00012584	0.00095332	0	0	1	0
N12	0.00025153	0.00070441	0.00050321	1	0	1
S13	0.00113303	0.00183744	0	0	0	1
N13	0.00050311	0.00120752	1e-07	1	0	0
S10	1e-07	0.00120762	0	0	0	0
S11	0.00012571	0.00133323	0	0	0	0
S12	0.00062886	0.00108074	0	0	0	0
N14	0.00130848	0.00130848	0.00037776	1	0	2
S14	0.00037776	0.00168624	0	0	0	0
N15	0.00025079	0.00155927	0.00025242	1	1	0
S16	0.00088013	0.0024394	0	0	0	0
N16	1e-06	0.00156027	0.00025142	1	0	0
S15	0.00025142	0.00181169	0	0	0	0
S17	0.00050312	0.00206339	0	0	1	0
