# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.00385784	2	0	0
N2	0.00126899	0.00126899	0.00258885	2	0	1
N3	0.00150265	0.00277164	0.0010862	1	1	0
N4	0.00113995	0.00391159	0.00025871	1	0	0
N5	0.00025571	0.0041673	3e-06	1	0	0
N6	1e-06	0.0041683	2e-06	1	0	0
N7	1e-06	0.0041693	1e-06	1	0	0
S2	0.00051732	0.00468662	0	0	2	1
S4	1e-06	0.0041703	0	0	1	0
S3	0.00038673	0.00455503	0	0	0	0
S5	0.00116048	0.00532778	0	0	0	0
S6	0.00129067	0.00520226	0	0	0	0
S1	0.0010862	0.00385784	0	0	3	1
N8	0.00213331	0.0034023	0.00061256	1	0	1
S9	0.00061256	0.00401486	0	0	2	1
N9	0.00015577	0.00355807	0.00051217	1	0	0
S7	0.00051217	0.00407024	0	0	0	0
S8	0.00064025	0.00419832	0	0	0	0
N10	0.00372211	0.00372211	0.00085068	1	0	1
S10	0.00085068	0.00457279	0	0	0	0
S11	0.00196304	0.00568515	0	0	0	0
