Node	State	ProbSum	Father	StateFather	ProbSumFather
S3	1	167	N4	1	167
S4	1	167	N4	1	167
N4	1	167	N3	1	167
S5	1	169	N3	1	167
N3	1	167	N2	1	167
S1	1	168	N5	1	167
S2	1	167	N5	1	167
N5	1	167	N2	1	167
N2	1	167	N1	1	167
S12	1	167	N7	1	167
S13	1	166	N7	1	167
N7	1	167	N6	1	167
S11	1	167	N8	1	167
S9	1	167	N9	1	167
S10	1	167	N10	1	167
S6	1	167	N11	1	167
S7	1	167	N12	1	167
S8	1	167	N12	1	167
N12	1	167	N11	1	167
N11	1	167	N10	1	167
N10	1	167	N9	1	167
N9	1	167	N8	1	167
N8	1	167	N6	1	167
N6	1	167	N1	1	167
N1	1	167	NoFather2Root	NA	NA
