# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.00623367	3	0	0
N2	0.00712106	0.00712106	0.00114564	2	0	1
N3	0.00142131	0.00854237	0.00012919	1	0	0
N4	1e-06	0.00854337	0.00012819	1	0	0
S3	0.00012819	0.00867156	0	0	0	0
S4	0.00128272	0.00982609	0	0	0	0
S5	0.00025832	0.00880069	0	0	2	0
N5	0.00076094	0.007882	0.0003847	1	0	0
S1	0.00038528	0.00826728	0	0	1	0
S2	0.0003847	0.0082667	0	0	0	0
N6	0.00447468	0.00447468	0.00175899	2	0	1
N7	0.00123655	0.00571123	0.00157092	1	0	0
S12	0.00157092	0.00728215	0	0	0	0
S13	0.00190293	0.00761416	0	0	0	1
N8	0.00124347	0.00571815	0.00051552	1	0	0
S11	0.00231292	0.00803107	0	0	0	0
N9	1e-06	0.00571915	0.00051452	1	0	0
S9	0.00102732	0.00674647	0	0	0	0
N10	1e-06	0.00572015	0.00051352	1	0	0
S10	0.00102721	0.00674736	0	0	0	0
N11	0.00012837	0.00584852	0.00038515	1	0	0
S6	0.00038515	0.00623367	0	0	0	0
N12	0.00038521	0.00623373	0.0002567	1	0	0
S7	0.0002567	0.00649043	0	0	0	0
S8	0.00102743	0.00726116	0	0	0	0
