# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	1e-06	1	0	0
N2	0.00051347	0.00051347	5e-06	1	0	0
N3	1e-06	0.00051447	4e-06	2	0	0
N4	0.00012834	0.00064281	0.00038505	2	0	0
N5	0.00012839	0.0007712	0.00038512	1	0	0
N6	0.00051356	0.00128476	1e-06	1	0	1
S11	1e-06	0.00128576	0	0	0	0
S12	0.00025654	0.0015413	0	0	0	0
S10	0.00038512	0.00115632	0	0	1	0
N7	0.00025672	0.00089953	0.00012833	1	0	0
S1	0.000129	0.00102853	0	0	1	0
S2	0.00012833	0.00102786	0	0	0	0
N8	1e-06	0.00051547	3e-06	1	0	0
S7	0.00038503	0.0009005	0	0	0	0
N9	1e-06	0.00051647	2e-06	2	0	0
N10	0.00012832	0.00064479	1e-07	1	0	0
S3	1e-07	0.00064489	0	0	0	0
S5	0.00025667	0.00090146	0	0	0	0
N11	1e-06	0.00051747	1e-06	1	0	0
S4	1e-06	0.00051847	0	0	0	0
S8	0.00025668	0.00077415	0	0	0	0
S9	0.00077024	0.00128371	0	0	0	0
S6	1e-06	1e-06	0	0	0	0
