Node	State	ProbSum	Father	StateFather	ProbSumFather
S8	1	153.6	N5	1	152.6
S9	1	152.6	N5	1	152.6
N5	1	152.6	N4	1	152.6
S10	1	152.6	N4	1	152.6
N4	1	152.6	N3	1	152.6
S11	1	152.6	N3	1	152.6
N3	1	152.6	N2	1	152.6
S6	1	153.6	N6	1	152.6
S7	1	153.6	N6	1	152.6
N6	1	152.6	N2	1	152.6
N2	1	152.6	N1	1	154.3
S4	1	157.7	N8	1	157.2
S5	1	157.7	N8	1	157.2
N8	1	157.2	N7	1	155.5
S3	1	154.7	N9	1	153.9
S1	1	154.7	N10	1	154.7
S2	1	155.7	N10	1	154.7
N10	1	154.7	N9	1	153.9
N9	1	153.9	N7	1	155.5
N7	1	155.5	N1	1	154.3
N1	1	154.3	NoFather2Root	NA	NA
