# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.0252109	3	0	0
N2	0.0269061	0.0269061	0.00125872	2	0	8
N3	0.001567	0.0284731	0.00025856	1	0	0
N4	1e-06	0.0284741	0.00025756	1	0	0
N5	1e-06	0.0284751	0.00025656	1	0	0
S8	0.00025656	0.0287317	0	0	1	0
S9	0.00038492	0.0288601	0	0	0	0
S10	0.00089839	0.0293725	0	0	0	0
S11	0.00192613	0.0303993	0	0	0	0
N6	0.00036034	0.0272665	0.00089838	1	0	0
S6	0.00089838	0.0281649	0	0	1	0
S7	0.00116486	0.0284313	0	0	1	0
N7	0.0211373	0.0211373	0.00407356	2	0	4
N8	0.00368767	0.024825	0.00038589	1	1	0
S4	0.00038589	0.0252109	0	0	1	1
S5	0.00103343	0.0258584	0	0	0	0
N9	0.00485605	0.0259934	0.00129023	1	0	2
S3	0.00302252	0.0290159	0	0	0	0
N10	0.00129013	0.0272835	1e-07	1	1	0
S1	1e-07	0.0272836	0	0	1	2
S2	0.00129221	0.0285757	0	0	0	0
