# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.00358979	2	0	0
N2	0.00341713	0.00341713	0.00017266	1	0	0
S10	0.00034175	0.00375888	0	0	0	0
S11	0.00017266	0.00358979	0	0	0	1
N3	0.00329891	0.00329891	0.00101829	2	0	1
N4	0.00357049	0.0068694	0.00080924	1	1	0
N5	0.00038453	0.00725393	0.00047402	1	0	0
S7	0.00047402	0.00772795	0	0	0	2
S8	0.00055219	0.00780612	0	0	0	0
S9	0.00080924	0.00767864	0	0	0	0
N6	0.00101819	0.0043171	1e-07	1	0	0
S6	1e-07	0.0043172	0	0	1	0
N7	0.00064121	0.00495831	0.00064129	1	0	0
S5	0.00064129	0.0055996	0	0	0	0
N8	0.0003847	0.00534301	0.00089754	2	0	0
N9	0.0005129	0.00585591	0.00051304	1	0	0
S1	0.00102985	0.00688576	0	0	2	0
S2	0.00051304	0.00636895	0	0	0	0
N10	0.00076947	0.00611248	0.00012807	1	0	0
S3	0.00012807	0.00624055	0	0	0	0
S4	0.00025645	0.00636893	0	0	0	0
