# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.00682603	2	0	0
N2	0.0062181	0.0062181	0.00060793	1	0	0
N3	0.00154836	0.00776646	0.00012659	1	0	0
S14	0.00012659	0.00789305	0	0	0	0
S15	0.00038025	0.00814671	0	0	0	0
S13	0.00060793	0.00682603	0	0	0	0
N4	0.00640922	0.00640922	0.00316845	2	0	0
N5	0.00253477	0.00894399	0.00063368	1	0	0
N6	0.00063358	0.00957757	1e-07	1	0	0
S10	1e-07	0.00957767	0	0	0	0
S11	0.00076052	0.0103381	0	0	0	0
S12	0.000888	0.00983199	0	0	0	0
N7	0.00141847	0.00782769	0.00192512	2	3	0
N8	0.00268056	0.0105083	0.00090237	1	0	0
N9	0.00064664	0.0111549	0.00025573	1	0	0
S1	0.00025573	0.0114106	0	0	2	0
S2	0.00050956	0.0116644	0	0	0	0
S3	0.00126575	0.011774	0	0	0	0
N10	0.00039485	0.00822254	0.00153027	1	0	0
S4	0.00153027	0.00975281	0	0	0	0
N11	0.00065102	0.00887356	0.00141386	2	0	1
N12	0.00177016	0.0106437	1e-07	1	0	0
S8	1e-07	0.0106438	0	0	0	0
S9	0.00025437	0.0108981	0	0	0	0
N13	0.00063622	0.00950978	0.00077764	1	0	0
S5	0.00077764	0.0102874	0	0	0	0
N14	0.00164332	0.0111531	0.00038152	1	0	0
S6	0.00038152	0.0115346	0	0	0	0
S7	0.0005091	0.0116622	0	0	0	0
