Node	State	ProbSum	Father	StateFather	ProbSumFather
S14	1	167	N3	1	167
S15	1	167	N3	1	167
N3	1	167	N2	1	167
S13	1	167	N2	1	167
N2	1	167	N1	1	167
S10	1	167	N6	1	167
S11	1	167	N6	1	167
N6	1	167	N5	1	167
S12	1	167	N5	1	167
N5	1	167	N4	1	167
S1	1	172	N9	1	170
S2	1	170	N9	1	170
N9	1	170	N8	1	170
S3	1	170	N8	1	170
N8	1	170	N7	1	170
S4	1	170	N10	1	170
S8	1	169	N12	1	169
S9	1	169	N12	1	169
N12	1	169	N11	1	169
S5	1	169	N13	1	169
S6	1	169	N14	1	169
S7	1	169	N14	1	169
N14	1	169	N13	1	169
N13	1	169	N11	1	169
N11	1	169	N10	1	170
N10	1	170	N7	1	170
N7	1	170	N4	1	167
N4	1	167	N1	1	167
N1	1	167	NoFather2Root	NA	NA
