Node	State	ProbSum	Father	StateFather	ProbSumFather
S2	1	164	N8	1	164
S3	1	164	N8	1	164
N8	1	164	N7	1	164
S1	1	165	N7	1	164
N7	1	164	N6	1	164.2
S4	1	165	N6	1	164.2
N6	1	164.2	N5	1	164
S5	1	164	N9	1	164
S6	1	164	N9	1	164
N9	1	164	N5	1	164
N5	1	164	N4	1	164
S7	1	164	N10	1	164
S8	1	164	N10	1	164
N10	1	164	N4	1	164
N4	1	164	N3	1	164
S9	1	164	N11	1	164
S10	1	164	N11	1	164
N11	1	164	N3	1	164
N3	1	164	N2	1	164
S16	1	165	N12	1	165
S15	1	165	N13	1	165
S14	1	168	N14	1	165
S13	1	165	N15	1	165
S11	1	167	N16	1	165
S12	1	165	N16	1	165
N16	1	165	N15	1	165
N15	1	165	N14	1	165
N14	1	165	N13	1	165
N13	1	165	N12	1	165
N12	1	165	N2	1	164
N2	1	164	N1	1	163.5
S19	1	163	N17	1	163
S17	1	162	N18	1	162
S18	1	161	N18	1	162
N18	1	162	N17	1	163
N17	1	163	N1	1	163.5
N1	1	163.5	NoFather2Root	NA	NA
