# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.003362	0.003362	0.00704	2	0.4679	0.001136
N3	0.004422	0.007784	0.004203	2	0.005764	0.006994
N4	0.002857	0.01064	0.001585	2	0.0007487	0.0007381
N5	0.0002639	0.01091	0.001321	2	1.006e-05	6.209e-06
N6	0.001428	0.01233	1.039e-06	1	0.1616	0.0001824
N7	0.0001584	0.01249	0.0001325	1	0.0001413	0.1601
N8	0.0001321	0.01262	0.0002641	1	2.198e-06	0.0014
S2	0.0002641	0.01289	0	0	6.197e-06	7.172e-06
S3	0.0003961	0.01302	0	0	1.394e-05	1.492e-05
S1	0.0001325	0.01262	0	0	0.9988	0.0003623
S4	1.039e-06	0.01233	0	0	0.8399	3.616e-06
N9	0.0001311	0.01104	0.00119	1	1.539e-06	5.119e-06
S5	0.00119	0.01223	0	0	0.0001258	0.0001258
S6	0.001851	0.01289	0	0	0.0003043	0.0003043
N10	0.002381	0.01302	1.039e-07	1	0.0005036	0.0005033
S7	1.039e-07	0.01302	0	0	1.421e-11	1.451e-12
S8	0.0002641	0.01329	0	0	6.192e-06	6.192e-06
N11	0.004203	0.01199	1.039e-07	1	0.001592	0.001581
S9	1.039e-07	0.01199	0	0	3.63e-11	2.369e-12
S10	0.0003961	0.01238	0	0	1.394e-05	1.394e-05
N12	0.005534	0.008896	0.001506	1	1.001	0.00271
S16	0.001506	0.0104	0	0	0.0004659	0.0002014
N13	0.0008149	0.009711	0.001262	1	0.0003262	5.922e-05
S15	0.001647	0.01136	0	0	0.0002416	0.0002441
N14	0.0007331	0.01044	0.0005288	1	0.001973	4.817e-05
S14	0.0005288	0.01097	0	0	2.998	0.0004834
N15	0.0005287	0.01097	2.078e-06	1	5.272e-05	0.001952
S13	0.0001321	0.01111	0	0	1.55e-06	2.903e-05
N16	1.039e-06	0.01097	1.039e-06	1	0.0004625	1.388e-09
S11	1.039e-06	0.01098	0	0	2	2.706e-06
S12	0.0002642	0.01124	0	0	6.201e-06	0.0004962
N17	0.004156	0.004156	0.001185	1	0.003898	0.5766
S19	0.001781	0.005937	0	0	0.03861	0.000365
N18	0.0003996	0.004556	0.0007858	1	1.521e-05	0.9604
S17	0.0007858	0.005342	0	0	0.0004207	0.001808
S18	0.00106	0.005616	0	0	9.952e-05	1.001
