# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.00514199	2	0	0
N2	0.00323672	0.00323672	0.0067764	2	0	0
N3	0.00425657	0.00749329	0.00404585	2	0	0
N4	0.00275014	0.0102434	0.00152566	2	0	0
N5	0.00025399	0.0104974	0.00127167	2	0	0
N6	0.00137425	0.0118717	1e-06	1	0	0
N7	0.00015249	0.0120242	0.00012756	1	0	0
N8	0.00012713	0.0121513	0.00025421	1	0	0
S2	0.00025421	0.0124055	0	0	0	0
S3	0.00038134	0.0125326	0	0	0	0
S1	0.00012756	0.0121517	0	0	1	0
S4	1e-06	0.0118727	0	0	1	0
N9	0.0001262	0.0106236	0.00114547	1	0	0
S5	0.00114547	0.0117691	0	0	0	0
S6	0.0017817	0.0124053	0	0	0	0
N10	0.00229166	0.0125351	1e-07	1	0	0
S7	1e-07	0.0125352	0	0	0	0
S8	0.00025418	0.0127893	0	0	0	0
N11	0.00404575	0.011539	1e-07	1	0	0
S9	1e-07	0.0115391	0	0	0	0
S10	0.00038132	0.0119204	0	0	0	0
N12	0.00532706	0.00856378	0.00144934	1	1	0
S16	0.00144934	0.0100131	0	0	0	0
N13	0.00078446	0.00934824	0.00121465	1	0	0
S15	0.0015855	0.0109337	0	0	0	0
N14	0.00070566	0.0100539	0.00050899	1	0	0
S14	0.00050899	0.0105629	0	0	3	0
N15	0.00050893	0.0105628	2e-06	1	0	0
S13	0.00012716	0.01069	0	0	0	0
N16	1e-06	0.0105638	1e-06	1	0	0
S11	1e-06	0.0105648	0	0	2	0
S12	0.00025433	0.0108182	0	0	0	0
N17	0.00400091	0.00400091	0.00114108	1	0	1
S19	0.00171456	0.00571547	0	0	0	0
N18	0.0003847	0.00438561	0.00075638	1	0	1
S17	0.00075638	0.00514199	0	0	0	0
S18	0.00102067	0.00540628	0	0	0	1
