# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.009255	0.009255	0.009713	2	0.6455	1.935
N3	0.01039	0.01965	0.001366	2	0.3868	0.2097
N4	5.468e-06	0.01965	0.00204	1	7.76e-06	1.179e-05
N5	0.0006798	0.02033	0.00136	1	0.001587	0.002241
S8	0.00136	0.02169	0	0	0.00478	0.005476
S10	0.002041	0.02237	0	0	0.009142	0.01027
S11	0.00204	0.02169	0	0	0.00892	0.01027
N6	5.468e-06	0.01965	0.00136	1	1.037e-05	1.189e-05
S9	0.00136	0.02101	0	0	0.004569	0.005477
S12	0.00136	0.02101	0	0	1.005	0.005468
N7	0.008354	0.01761	0.001359	1	0.2758	0.2685
S6	0.001359	0.01897	0	0	0.1758	0.005521
S7	0.002722	0.02033	0	0	0.01944	0.8501
N8	0.01149	0.01149	5.468e-05	2	2.006	0.8032
N9	5.468e-06	0.0115	0.003414	1	0.0002051	1.722e-05
N10	5.468e-06	0.0115	0.003409	1	0.01649	2.771e-05
N11	0.0006815	0.01218	0.002727	1	0.4145	0.004262
S22	0.002727	0.01491	0	0	0.1853	0.02293
S23	0.002727	0.01491	0	0	0.1853	0.02293
S25	0.005456	0.01696	0	0	0.6358	0.06564
S26	0.005456	0.01695	0	0	1.058	0.4693
N12	5.468e-06	0.0115	4.921e-05	2	0.0002366	1.72e-05
N13	0.003566	0.01506	5.468e-06	1	1.133	1.435
N14	5.468e-06	0.01507	5.468e-06	1	4.997e-06	1.646e-05
S2	5.468e-06	0.01507	0	0	4.644e-06	1.644e-05
S3	5.468e-06	0.01507	0	0	4.644e-06	1.644e-05
S1	5.468e-06	0.01507	0	0	4.997e-06	1.646e-05
N15	5.468e-06	0.0115	4.375e-05	1	0.007466	1.161e-05
S21	0.004773	0.01628	0	0	0.6332	0.05316
N16	5.468e-06	0.01151	3.828e-05	1	0.001362	1.159e-05
S5	0.001366	0.01288	0	0	2.007	0.4246
N17	5.468e-06	0.01151	3.281e-05	1	0.5259	1.221e-05
S20	0.002727	0.01424	0	0	0.07835	0.02295
N18	5.468e-06	0.01152	2.734e-05	2	0.05648	1.214e-05
N19	5.468e-06	0.01153	0.002045	1	8.142e-05	0.000299
S18	0.002727	0.01425	0	0	0.0221	0.02296
S24	0.002045	0.01357	0	0	0.0149	1.015
N20	5.468e-06	0.01153	2.187e-05	2	0.0005251	1.209e-05
N21	5.468e-06	0.01153	0.002036	1	1.723e-05	5.182e-05
N22	0.0006728	0.0122	0.001364	1	0.006152	0.06155
S4	0.001364	0.01357	0	0	1.004	0.9471
S19	0.00341	0.01561	0	0	0.08886	0.0353
S17	0.002045	0.01358	0	0	0.01459	0.01526
N23	5.468e-06	0.01153	1.64e-05	1	0.002002	2.461e-05
S13	0.0006816	0.01221	0	0	0.002866	0.003747
N24	5.468e-06	0.01154	1.094e-05	1	7.247e-05	2.461e-05
S15	0.0006816	0.01222	0	0	0.00281	0.003747
N25	5.468e-06	0.01154	5.468e-06	1	1.854e-05	2.461e-05
S14	5.468e-06	0.01155	0	0	1.708e-05	2.46e-05
S16	0.001363	0.0129	0	0	0.006991	0.008844
