# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.0021117	3	0	0
N2	0.00169243	0.00169243	0.0017762	2	0	4
N3	0.00190046	0.00359289	0.00024972	2	0	0
N4	1e-06	0.00359389	0.00037309	1	0	0
N5	0.00012432	0.00371821	0.00024877	1	0	0
S8	0.00024877	0.00396698	0	0	0	0
S10	0.00037318	0.00409139	0	0	0	0
S11	0.00037311	0.003967	0	0	0	0
N6	1e-06	0.00359389	0.00024872	1	0	0
S9	0.00024872	0.00384261	0	0	0	0
S12	0.00024879	0.00384268	0	0	1	0
N7	0.0015277	0.00322013	0.0002485	1	0	0
S6	0.0002485	0.00346863	0	0	0	0
S7	0.0004977	0.00371783	0	0	0	1
N8	0.0021017	0.0021017	1e-05	2	0	0
N9	1e-06	0.0021027	0.00062434	1	0	0
N10	1e-06	0.0021037	0.00062334	1	0	1
N11	0.00012463	0.00222833	0.00049871	1	0	0
S22	0.00049871	0.00272704	0	0	0	0
S23	0.00049879	0.00272712	0	0	0	0
S25	0.00099779	0.00310149	0	0	0	0
S26	0.00099768	0.00310038	0	0	0	1
N12	1e-06	0.0021027	9e-06	2	0	0
N13	0.0006521	0.0027548	1e-06	1	0	2
N14	1e-06	0.0027558	1e-06	1	0	0
S2	1e-06	0.0027568	0	0	0	0
S3	1e-06	0.0027568	0	0	0	0
S1	1e-06	0.0027558	0	0	0	0
N15	1e-06	0.0021037	8e-06	1	0	0
S21	0.00087285	0.00297655	0	0	0	1
N16	1e-06	0.0021047	7e-06	1	0	0
S5	0.00024989	0.00235459	0	0	1	1
N17	1e-06	0.0021057	6e-06	1	0	1
S20	0.00049874	0.00260444	0	0	0	0
N18	1e-06	0.0021067	5e-06	2	0	0
N19	1e-06	0.0021077	0.00037394	1	0	0
S18	0.00049873	0.00260643	0	0	0	0
S24	0.00037394	0.00248164	0	0	0	1
N20	1e-06	0.0021077	4e-06	2	0	0
N21	1e-06	0.0021087	0.00037241	1	0	0
N22	0.00012304	0.00223174	0.00024937	1	0	0
S4	0.00024937	0.00248111	0	0	1	1
S19	0.00062354	0.00285528	0	0	0	0
S17	0.00037397	0.00248267	0	0	0	0
N23	1e-06	0.0021087	3e-06	1	0	0
S13	0.00012464	0.00223334	0	0	0	0
N24	1e-06	0.0021097	2e-06	1	0	0
S15	0.00012464	0.00223434	0	0	0	0
N25	1e-06	0.0021107	1e-06	1	0	0
S14	1e-06	0.0021117	0	0	0	0
S16	0.0002493	0.00236	0	0	0	0
