Node	State	ProbSum	Father	StateFather	ProbSumFather
S8	1	160	N5	1	160
S10	1	160	N5	1	160
N5	1	160	N4	1	160
S11	1	160	N4	1	160
N4	1	160	N3	1	160
S9	1	160	N6	1	160
S12	1	161	N6	1	160
N6	1	160	N3	1	160
N3	1	160	N2	1	159.8
S6	1	160	N7	1	159.8
S7	1	159	N7	1	159.8
N7	1	159.8	N2	1	159.8
N2	1	159.8	N1	1	161.1
S22	1	162.9	N11	1	162.7
S23	1	162.9	N11	1	162.7
N11	1	162.7	N10	1	162.3
S25	1	162.9	N10	1	162.3
N10	1	162.3	N9	1	162.3
S26	1	162.9	N9	1	162.3
N9	1	162.3	N8	1	162.3
S2	1	162	N14	1	162
S3	1	162	N14	1	162
N14	1	162	N13	1	162
S1	1	162	N13	1	162
N13	1	162	N12	1	162.3
S21	1	162.9	N15	1	162.3
S5	1	163.9	N16	1	162.3
S20	1	162.9	N17	1	162.8
S18	1	162.9	N19	1	162.9
S24	1	161.9	N19	1	162.9
N19	1	162.9	N18	1	162.9
S4	1	162.9	N22	1	162.8
S19	1	162.9	N22	1	162.8
N22	1	162.8	N21	1	162.9
S17	1	162.9	N21	1	162.9
N21	1	162.9	N20	1	162.9
S13	1	162.9	N23	1	162.9
S15	1	162.9	N24	1	162.9
S14	1	162.9	N25	1	162.9
S16	1	162.9	N25	1	162.9
N25	1	162.9	N24	1	162.9
N24	1	162.9	N23	1	162.9
N23	1	162.9	N20	1	162.9
N20	1	162.9	N18	1	162.9
N18	1	162.9	N17	1	162.8
N17	1	162.8	N16	1	162.3
N16	1	162.3	N15	1	162.3
N15	1	162.3	N12	1	162.3
N12	1	162.3	N8	1	162.3
N8	1	162.3	N1	1	161.1
N1	1	161.1	NoFather2Root	NA	NA
