# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	0.0331295	2	0	0
N2	0.0317989	0.0317989	0.00446775	1	0	2
N3	0.00249935	0.0342983	0.0019684	1	0	0
N4	0.00091248	0.0352108	0.00105592	1	0	0
S20	0.00105592	0.0362667	0	0	0	0
S21	0.00201471	0.0372255	0	0	0	0
S22	0.00252091	0.0368192	0	0	0	0
S23	0.00470012	0.0364991	0	0	1	0
N5	0.0274576	0.0274576	0.00567195	3	0	4
N6	0.00391853	0.0313761	0.00175342	2	0	0
N7	0.00147222	0.0328483	0.00072887	1	0	0
N8	0.00031394	0.0331623	0.00041493	2	0	0
N9	0.00041393	0.0335762	1e-06	1	0	0
N10	1e-06	0.0335772	1e-06	1	0	0
S12	1e-06	0.0335782	0	0	0	0
S14	0.00089363	0.0344708	0	0	0	0
S13	1e-06	0.0335772	0	0	1	0
N11	0.00082345	0.0339857	0.00107038	1	5	2
S18	0.00107038	0.0350561	0	0	1	0
S19	0.00340048	0.0373862	0	0	1	0
S15	0.00080394	0.0336523	0	0	0	0
N12	0.00034993	0.031726	0.00140349	1	0	0
S16	0.00140349	0.0331295	0	0	1	0
S17	0.00192035	0.0336464	0	0	0	0
N13	0.00169538	0.029153	0.00469321	2	1	0
N14	0.00184007	0.030993	0.00285314	1	0	0
N15	0.00196142	0.0329545	0.00089172	1	0	1
N16	0.00012691	0.0330814	0.00153617	1	0	0
N17	0.00025325	0.0333346	0.00191614	1	0	0
S9	0.00191614	0.0352508	0	0	0	0
S11	0.002434	0.0357686	0	0	0	0
S10	0.00153617	0.0346175	0	0	0	1
S8	0.00089172	0.0338462	0	0	0	0
S7	0.00406586	0.0350589	0	0	0	1
N18	0.00411031	0.0332633	0.0036758	2	0	1
N19	0.00129004	0.0345533	0.00238576	1	0	0
S5	0.00247893	0.0370322	0	0	0	0
S6	0.00238576	0.0369391	0	0	0	0
N20	0.0041485	0.0374118	0.00075707	1	0	0
S3	0.00141568	0.0388275	0	0	0	0
N21	0.00011847	0.0375303	0.0006386	1	0	0
S2	0.00089469	0.0384249	0	0	0	0
N22	0.00038321	0.0379135	0.00025539	1	0	0
S1	0.00025539	0.0381689	0	0	0	0
S4	0.0024297	0.0403432	0	0	0	0
