Node	State	ProbSum	Father	StateFather	ProbSumFather
S20	1	159.9	N4	1	159.9
S21	1	159.9	N4	1	159.9
N4	1	159.9	N3	1	159.9
S22	1	159.9	N3	1	159.9
N3	1	159.9	N2	1	159.9
S23	1	160.9	N2	1	159.9
N2	1	159.9	N1	1	158.9
S12	1	158	N10	1	158
S14	1	158	N10	1	158
N10	1	158	N9	1	158
S13	1	159	N9	1	158
N9	1	158	N8	1	158
S18	1	162.2	N11	1	161
S19	1	162	N11	1	161
N11	1	161	N8	1	158
N8	1	158	N7	1	158
S15	1	158	N7	1	158
N7	1	158	N6	1	158
S16	1	159	N12	1	158
S17	1	158	N12	1	158
N12	1	158	N6	1	158
N6	1	158	N5	1	158
S9	1	158	N17	1	158
S11	1	158	N17	1	158
N17	1	158	N16	1	158
S10	1	157	N16	1	158
N16	1	158	N15	1	158
S8	1	158	N15	1	158
N15	1	158	N14	1	158
S7	1	158	N14	1	158
N14	1	158	N13	1	158
S5	1	158	N19	1	158
S6	1	158	N19	1	158
N19	1	158	N18	1	158
S3	1	158	N20	1	158
S2	1	158	N21	1	158
S1	1	158	N22	1	158
S4	1	158	N22	1	158
N22	1	158	N21	1	158
N21	1	158	N20	1	158
N20	1	158	N18	1	158
N18	1	158	N13	1	158
N13	1	158	N5	1	158
N5	1	158	N1	1	158.9
N1	1	158.9	NoFather2Root	NA	NA
